category,n_seeds,seeds,git_commits,test_image_auroc_mean,test_image_auroc_std,test_pixel_auroc_mean,test_pixel_auroc_std,test_aupro_mean,test_aupro_std,test_frr_at_zero_escape_mean,test_frr_at_zero_escape_std,zerong_test_frr_mean,zerong_test_frr_std,zerong_test_escape_rate_mean,zerong_test_escape_rate_std,valcal_test_frr_mean,valcal_test_frr_std,valcal_test_escape_rate_mean,valcal_test_escape_rate_std
bottle,3,0 1 2,1a0ec9e1,1,0,0.985463,2.01341e-05,0.951765,0.000221337,0,0,0,0,0,0,0,0,0.121212,0.0131216
cable,3,0 1 2,1a0ec9e1,0.983359,0.00195564,0.984231,7.7696e-05,0.925488,0.00201641,0.243902,0.121951,0.0894309,0.0140817,0.0260417,0.0090211,0.203252,0.101545,0.0104167,0.0090211
capsule,3,0 1 2,1a0ec9e1,0.98602,0.00217578,0.989031,0.000137963,0.919025,0.00151164,0.5,0.0625,0.0208333,0.0360844,0.0789474,0.0394737,0.125,0.108253,0.0263158,0
carpet,3,0 1 2,1a0ec9e1,0.980376,0.00246375,0.991038,2.28961e-05,0.944822,0.000723034,0.9,0.05,0.383333,0.0288675,0.016129,0,0.05,8.49837e-18,0.0430108,0.0093121
grid,3,0 1 2,1a0ec9e1,0.976111,0.00346944,0.981216,7.59107e-05,0.921767,0.00141562,0.555556,0.19245,0.133333,0,0.0416667,0.0144338,0,0,0.158333,0.0288675
hazelnut,3,0 1 2,1a0ec9e1,1,0,0.988072,5.52213e-05,0.951569,0.000404749,0,0,0,0,0.00666667,0.011547,0,0,0.0266667,0.011547
leather,3,0 1 2,1a0ec9e1,1,0,0.992404,4.31099e-05,0.974058,0.000118213,0,0,0.0757576,0.069433,0,0,0,0,0.0364583,0.0090211
metal_nut,3,0 1 2,1a0ec9e1,0.995486,0.00159117,0.986778,0.000177287,0.943444,0.000749043,0.222222,0.03849,0.155556,0.03849,0.0104167,0.0090211,0,0,0.0677083,0.0090211
pill,3,0 1 2,1a0ec9e1,0.932729,0.00482137,0.982916,0.000235014,0.948765,0.000660492,0.925926,0.032075,0.111111,0,0.190476,0.031174,0.759259,0.032075,0.0272109,0.00589133
screw,3,0 1 2,1a0ec9e1,0.959839,0.00376974,0.987964,0.000181976,0.939135,0.00145205,0.448276,0.0912328,0.0804598,0.0199086,0.180723,0.0361446,0.287356,0.0867797,0.0281124,0.0184039
tile,3,0 1 2,1a0ec9e1,1,0,0.954036,0.00031336,0.849551,0.000316127,0,0,0,0,0.0722222,0.0096225,0,0,0.0666667,0.0166667
toothbrush,3,0 1 2,1a0ec9e1,0.863095,0.00595238,0.989365,1.9445e-05,0.910214,0.000463794,0.375,0,0.5,0,0,0,0.375,0,0,0
transistor,3,0 1 2,1a0ec9e1,0.988662,0.00578815,0.972629,0.000393162,0.949683,9.78628e-05,0.18254,0.0727393,0.198413,0.0137464,0.0119048,0.0206197,0.0555556,0.0137464,0.0357143,0
wood,3,0 1 2,1a0ec9e1,0.994633,1.92296e-16,0.956043,0.000185843,0.901449,0.000645944,0.179487,0.0444116,0.25641,0.0444116,0,0,0.384615,0,0,0
zipper,3,0 1 2,1a0ec9e1,0.983936,0.00270147,0.982191,3.70247e-05,0.93789,0.0002189,0.0757576,0.0262432,0.0757576,0.0262432,0.00803213,0.00695603,0.681818,0.0787296,0,0
