category,n_seeds,seeds,git_commits,test_image_auroc_mean,test_image_auroc_std,test_pixel_auroc_mean,test_pixel_auroc_std,test_aupro_mean,test_aupro_std,test_frr_at_zero_escape_mean,test_frr_at_zero_escape_std,zerong_test_frr_mean,zerong_test_frr_std,zerong_test_escape_rate_mean,zerong_test_escape_rate_std,valcal_test_frr_mean,valcal_test_frr_std,valcal_test_escape_rate_mean,valcal_test_escape_rate_std
candle,3,0 1 2,1a0ec9e1,0.969592,0.00093522,0.992829,2.4346e-05,0.958059,0.000628069,0.633333,0.105302,0,0,0.685714,0.0247436,0.0666667,0.0218218,0.1,0.0285714
capsules,3,0 1 2,1a0ec9e1,0.70941,0.0144361,0.981172,0.000298885,0.75535,0.0043848,0.97619,0,0.0238095,0,0.580952,0.0459221,0.97619,0,0.0142857,0.0142857
cashew,3,0 1 2,1a0ec9e1,0.965034,0.00124696,0.991057,0.000261415,0.918313,0.0013545,0.342857,6.7987e-17,0,0,0.480952,0.00824786,0.466667,0.0436436,0,0
chewinggum,3,0 1 2,1a0ec9e1,0.996599,0.00084966,0.992528,0.000190942,0.894513,0.0032353,0.142857,0.0285714,0,0,0.047619,0.00824786,0.266667,0.162464,0.00952381,0.0164957
fryum,3,0 1 2,1a0ec9e1,0.964626,0.00265568,0.950385,0.00024887,0.821431,0.00232808,0.504762,0.0594762,0,0,0.438095,0.0594762,0.571429,0.0571429,0,0
macaroni1,3,0 1 2,1a0ec9e1,0.805238,0.00725949,0.961664,0.00273988,0.836075,0.00764362,0.819048,0.0733086,0,0,0.92381,0.00824786,0.766667,0.0329914,0.0190476,0.0164957
macaroni2,3,0 1 2,1a0ec9e1,0.696122,0.0158646,0.968112,0.000676787,0.841683,0.00503825,0.985714,0,0,0,1,0,0.857143,0.0494872,0.047619,0.00824786
pcb1,3,0 1 2,1a0ec9e1,0.923673,0.00215013,0.994721,0.000112629,0.903762,0.00508766,0.385714,0.0428571,0.052381,0.00824786,0.47619,0.0412393,0.366667,0.0733086,0.0190476,0.0329914
pcb2,3,0 1 2,1a0ec9e1,0.927551,0.00304759,0.982015,0.00029396,0.828516,0.00430814,0.661905,0.0872872,0.0666667,0.00824786,0.242857,0.0247436,0.547619,0.167413,0.0190476,0.00824786
pcb3,3,0 1 2,1a0ec9e1,0.91784,0.0028193,0.980726,0.000255906,0.815983,0.00258082,0.56338,0.0243951,0,0,0.557143,0.0247436,0.535211,0.028169,0.0190476,0.00824786
pcb4,3,0 1 2,1a0ec9e1,0.988196,0.00153675,0.984088,0.000352611,0.892494,0.00247707,0.103286,0.00813169,0,0,0.6,0.0377964,0.28169,0.0745282,0,0
pipe_fryum,3,0 1 2,1a0ec9e1,0.986667,0.00205438,0.990471,6.34179e-05,0.93926,0.00122063,0.27619,0.0436436,0,0,0.266667,0.0164957,0.0952381,0.0164957,0.0666667,0.00824786
